ts,event,picks_sha256,outcomes_sha256,paths_sha256,prev_chain,chain
2026-07-31T13:15:29.771819+00:00,scan,f661c6abf9ed3ca22a04ded755324537fd4d02dd6271f835e1194f608a676b08,34e9b048b0378fe27d02246810a05a4567c5d637c9a4d12b415233ada9ec6fe3,6346dd5f93501165fc6ca795d203fe3bdc77979fc77af9b8e8cdd88f4fd50dfd,9a0e57891a9b6314ba4e93887fef53c4a70ccfc2c4509d9b01240e52d7f98587,e92d5d539013ac575fe2aa72864fe5f055b170638bc5b26409c47d05a4556652
2026-07-31T22:00:17.299590+00:00,grade,f661c6abf9ed3ca22a04ded755324537fd4d02dd6271f835e1194f608a676b08,547624d3585efd2c1f6473237633107899387438bb2f6f63361073a4db637d29,2713b3deb2ccbccee6b6a8f523beed952fafdf408871784a517c64fecf84eeb9,e92d5d539013ac575fe2aa72864fe5f055b170638bc5b26409c47d05a4556652,75a54296ca6666f491f0f98502f84f5349b66d9913edcb8f62b41833cbd62ebc
2026-08-01T15:01:04.103563+00:00,report,f661c6abf9ed3ca22a04ded755324537fd4d02dd6271f835e1194f608a676b08,547624d3585efd2c1f6473237633107899387438bb2f6f63361073a4db637d29,2713b3deb2ccbccee6b6a8f523beed952fafdf408871784a517c64fecf84eeb9,75a54296ca6666f491f0f98502f84f5349b66d9913edcb8f62b41833cbd62ebc,228de3e175602dfec555faa0d6c7d4081486e53e7d05d8d4ff537d3cd965b375
2026-08-03T13:59:00.729049+00:00,scan,5a4b83bbb7b13fc6b711c625b5330e426340650734446204e567033ebe37a7e5,547624d3585efd2c1f6473237633107899387438bb2f6f63361073a4db637d29,2713b3deb2ccbccee6b6a8f523beed952fafdf408871784a517c64fecf84eeb9,228de3e175602dfec555faa0d6c7d4081486e53e7d05d8d4ff537d3cd965b375,a0732d281ac30251f9023800ea842e48bcc0c25bd7a3a0347138dd408e422a2b
2026-08-03T22:04:37.843808+00:00,grade,5a4b83bbb7b13fc6b711c625b5330e426340650734446204e567033ebe37a7e5,00947f26d620b0a522a60be02d5e5a4dd89eeced5ead4154fe423cb8124415a6,a332ace46947350976aca2c3ebac2b3538764387161c46ddf3c6f42cf70bf34b,a0732d281ac30251f9023800ea842e48bcc0c25bd7a3a0347138dd408e422a2b,b71aa47689ae3e03df944e09fdaa28a78cf8a5b484ad1c277bb565a02efb783c
2026-08-04T12:52:37.624654+00:00,scan,1b00e692285f2cb6b33e09330a98be6b6a4858eb61ee0f5060a58ef3b2d50d8f,00947f26d620b0a522a60be02d5e5a4dd89eeced5ead4154fe423cb8124415a6,a332ace46947350976aca2c3ebac2b3538764387161c46ddf3c6f42cf70bf34b,b71aa47689ae3e03df944e09fdaa28a78cf8a5b484ad1c277bb565a02efb783c,1fd969ee291daa8c1ead04ce3cbdc35a9f01457874ffff9b228b30b9fae06638
2026-08-04T22:07:46.191701+00:00,grade,1b00e692285f2cb6b33e09330a98be6b6a4858eb61ee0f5060a58ef3b2d50d8f,0080a469c0a348df791c14a364aa3332d9fb6dfa7e54d7e91339caa5f65619c3,401ba52069a61c07313505567a47386913eb92e73a309dab99fa3ef263510403,1fd969ee291daa8c1ead04ce3cbdc35a9f01457874ffff9b228b30b9fae06638,367785103bf6ffad4be07760607619b2630e2b81d787ed0f450be7b9c2f62188
2026-08-05T12:31:22.967190+00:00,scan,53728af342cc3351feeaacbb8b9d3b840d5d9e2f54ad233555fed4877eb1a177,0080a469c0a348df791c14a364aa3332d9fb6dfa7e54d7e91339caa5f65619c3,401ba52069a61c07313505567a47386913eb92e73a309dab99fa3ef263510403,367785103bf6ffad4be07760607619b2630e2b81d787ed0f450be7b9c2f62188,fdd19226c93066969b84488c13ed2578bd4521e06b9a534b036b55bc80cd4bb1
2026-08-05T22:08:42.468388+00:00,grade,53728af342cc3351feeaacbb8b9d3b840d5d9e2f54ad233555fed4877eb1a177,eb6014c0306c24135c42ad994e333842806daa4834ea784670730523a1d09875,8411a2974e94849a0ec67c67ec56959311ae860e862bf68ddde308eee34a8de4,fdd19226c93066969b84488c13ed2578bd4521e06b9a534b036b55bc80cd4bb1,32324db78f47aff07ea4ff50f4398718a03d96797546aa074631e8acefd54d20
2026-08-06T12:49:30.923274+00:00,scan,0de48da98367a38c0b1ab1305a6d4a4161a3ecf7b88005158ec89907184c5536,eb6014c0306c24135c42ad994e333842806daa4834ea784670730523a1d09875,8411a2974e94849a0ec67c67ec56959311ae860e862bf68ddde308eee34a8de4,32324db78f47aff07ea4ff50f4398718a03d96797546aa074631e8acefd54d20,e99a3d4817a03f473bd3224a43bf1a8fde988fe71008de988e469c865a6a4b27
